#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Malassezia globosa CBS 7966	425265	PRJNA18719	18719	Fungi	Basidiomycetes	8.95812	52.1	GCA_000181695.1	-	AAYY01	67	4286	4286	2007/11/02	2014/08/06	Contig	The Procter & Gamble Company	SAMN02953680
Malassezia restricta	76775	PRJNA495494	495494	Fungi	Basidiomycetes	7.36963	55.6659	GCA_003290485.1	chromosome I:NC_040193.1/CP030251.1; chromosome II:NC_040194.1/CP030252.1; chromosome III:NC_040195.1/CP030253.1; chromosome IV:NC_040196.1/CP030254.1; chromosome V:NC_040197.1/CP030255.1; chromosome VI:NC_040198.1/CP030256.1; chromosome VII:NC_040199.1/CP030257.1; chromosome VIII:NC_040200.1/CP030258.1; chromosome IX:NC_040201.1/CP030259.1; mitochondrion MT:NC_039455.1/CP030260.1	-	10	4544	4406	2018/07/09	2019/01/11	Complete Genome	NCBI	SAMN09478194
Pyrenophora tritici-repentis Pt-1C-BFP	426418	PRJNA18815	18815	Fungi	Ascomycetes	37.9975	50.8	GCA_000149985.1	-	AAXI01	48	12299	12169	2007/04/10	2014/08/06	Scaffold	Broad Institute	SAMN02953676
Fusarium oxysporum NRRL 32931	660029	PRJNA67067	67067	Fungi	Ascomycetes	47.9063	47.6	GCA_000271745.2	-	AFML01	168	17642	23735	2012/06/22	2019/09/23	Scaffold	Broad Institute	SAMN02981331
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	chromosome 1:NC_014776.1/CM000937.1; chromosome 2:NC_014777.1/CM000938.1; chromosome 3:NC_014778.1/CM000939.1; chromosome 4:NC_014779.1/CM000940.1; chromosome 5:NC_014780.1/CM000941.1; chromosome 6:NC_014781.1/CM000942.1; linkage group a:NC_014782.1/CM000943.1; linkage group b:NC_014783.1/CM000944.1; linkage group c:NC_014784.1/CM000945.1; linkage group d:NC_014785.1/CM000946.1; linkage group f:NC_014786.1/CM000947.1; linkage group g:NC_014787.1/CM000948.1; linkage group h:NC_014788.1/CM000949.1; mitochondrion MT:EU747728.2	AAWZ02	6646	22293	34827	2007/02/15	2014/08/11	Chromosome	Broad Institute	SAMN02981230
Monosiga brevicollis MX1	431895	PRJNA19045	19045	Protists	Other Protists	41.7099	54.3258	GCA_000002865.1	mitochondrion MT:NC_004309.1/	ABFJ01	219	9232	9202	2007/11/20	2014/08/06	Scaffold	DOE Joint Genome Institute	SAMN02953695
Leishmania braziliensis MHOM/BR/75/M2904	420245	PRJEA18663	18663	Protists	Kinetoplasts	32.0688	57.7282	GCA_000002845.2	chromosome 1:NC_009294.2/FR798975.1; chromosome 2:NC_009295.2/FR798976.1; chromosome 3:NC_009296.2/FR798977.1; chromosome 4:NC_009297.2/FR798978.1; chromosome 5:NC_009298.2/FR798979.1; chromosome 6:NC_009276.2/FR798980.1; chromosome 7:NC_009299.2/FR798981.1; chromosome 8:NC_009300.2/FR798982.1; chromosome 9:NC_009301.2/FR798983.1; chromosome 10:NC_009302.2/FR798984.1; chromosome 11:NC_009303.2/FR798985.1; chromosome 12:NC_009304.2/FR798986.1; chromosome 13:NC_009305.2/FR798987.1; chromosome 14:NC_009306.2/FR798988.1; chromosome 15:NC_009307.2/FR798989.1; chromosome 16:NC_009308.2/FR798990.1; chromosome 17:NC_009309.2/FR798991.1; chromosome 18:NC_009310.2/FR798992.1; chromosome 19:NC_009311.2/FR798993.1; chromosome 21:NC_009313.2/FR798996.1; chromosome 22:NC_009314.2/FR798997.1; chromosome 23:NC_009315.2/FR798998.1; chromosome 24:NC_009316.2/FR798999.1; chromosome 25:NC_009317.2/FR799000.1; chromosome 26:NC_009318.2/FR799001.1; chromosome 27:NC_009319.2/FR799002.1; chromosome 28:NC_009320.2/FR799003.1; chromosome 29:NC_009321.2/FR799004.1; chromosome 30:NC_009322.2/FR799005.1; chromosome 31:NC_009323.2/FR799006.1; chromosome 32:NC_009324.2/FR799007.1; chromosome 33:NC_009325.2/FR799008.1; chromosome 35:NC_009326.2/FR799009.1; chromosome 36:NC_009327.2/FR799010.1	CADA01	138	8461	8160	2007/04/04	2015/03/21	Chromosome	The Sanger Institute	SAMEA2272271
Vanderwaltozyma polyspora DSM 70294	436907	PRJNA19237	19237	Fungi	Ascomycetes	14.6746	33	GCA_000150035.1	-	AAZN01	281	5767	5367	2007/04/25	2014/08/06	Scaffold	Trinity College Dublin, Ireland	SAMN02953681
Talaromyces stipitatus ATCC 10500	441959	PRJNA19557	19557	Fungi	Ascomycetes	35.6854	46.1	GCA_000003125.1	-	ABAS01	820	12574	13252	2007/05/16	2015/02/24	Scaffold	J. Craig Venter Institute	SAMN02953686
Talaromyces marneffei ATCC 18224	441960	PRJNA19555	19555	Fungi	Ascomycetes	28.6439	46.7	GCA_000001985.1	-	ABAR01	452	10138	10638	2007/05/16	2015/02/24	Scaffold	J. Craig Venter Institute	SAMN02953685
Postia placenta MAD-698-R-SB12	670580	PRJNA445945	445945	Fungi	Basidiomycetes	42.4529	53.5	GCA_002117355.1	-	NEDQ01	549	12716	12539	2017/05/02	2017/05/03	Scaffold	NCBI	SAMN02193972
Trichoderma virens Gv29-8	413071	PRJNA19983	19983	Fungi	Ascomycetes	39.0227	49.2	GCA_000170995.2	-	ABDF02	93	12405	12406	2007/07/17	2014/08/01	Scaffold	DOE Joint Genome Institute	SAMN02744059
Trichoderma atroviride IMI 206040	452589	PRJNA19867	19867	Fungi	Ascomycetes	36.1437	49.7	GCA_000171015.2	-	ABDG02	29	11810	11816	2007/07/17	2014/08/01	Contig	DOE Joint Genome Institute	SAMN02744066
Fundulus heteroclitus	8078	PRJNA615222	615222	Animals	Fishes	1203.51	40.7761	GCA_011125445.2	chromosome 1:NC_046361.1/CM022110.2; chromosome 2:NC_046362.1/CM022111.2; chromosome 3:NC_046363.1/CM022112.2; chromosome 4:NC_046364.1/CM022113.2; chromosome 5:NC_046365.1/CM022114.2; chromosome 6:NC_046366.1/CM022115.2; chromosome 7:NC_046367.1/CM022116.2; chromosome 8:NC_046368.1/CM022117.2; chromosome 9:NC_046369.1/CM022118.2; chromosome 10:NC_046370.1/CM022119.2; chromosome 11:NC_046371.1/CM022120.2; chromosome 12:NC_046372.1/CM022121.2; chromosome 13:NC_046373.1/CM022122.2; chromosome 14:NC_046374.1/CM022123.2; chromosome 15:NC_046375.1/CM022124.2; chromosome 16:NC_046376.1/CM022125.2; chromosome 17:NC_046377.1/CM022126.2; chromosome 18:NC_046378.1/CM022127.2; chromosome 19:NC_046379.1/CM022128.2; chromosome 20:NC_046380.1/CM022129.2; chromosome 21:NC_046381.1/CM022130.2; chromosome 22:NC_046382.1/CM022131.2; chromosome 23:NC_046383.1/CM022132.2; chromosome 24:NC_046384.1/CM022133.2; mitochondrion MT:NC_012312.1/	JAAEEJ02	1031	34686	49534	2020/03/10	2020/08/13	Chromosome	NCBI	SAMN13668183
Pteropus vampyrus	132908	PRJNA20325	20325	Animals	Mammals	2198.28	40.5	GCA_000151845.2	-	ABRP02	36094	41105	43630	2008/09/12	2014/12/05	Scaffold	Baylor College of Medicine	SAMN02894360
Lutzomyia longipalpis	7200	PRJNA20279	20279	Animals	Insects	154.229	35.9	GCA_000265325.1	-	AJWK01	11532	-	-	2012/06/07	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00008955
Nasonia giraulti	7426	PRJNA476699	476699	Animals	Insects	259.041	40.8	GCA_016647725.1	-	QLYP01	3160	-	-	2021/01/15	2021/01/15	Scaffold	Auburn University	SAMN09459598
Nasonia longicornis	7427	PRJNA20225	20225	Animals	Insects	285.726	44.1	GCA_000004795.1	-	ADAP01	5214	-	-	2009/11/11	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00003080
Capsaspora owczarzaki ATCC 30864	595528	PRJNA20341	20341	Protists	Other Protists	27.9678	53.7	GCA_000151315.2	-	ACFS02	84	8793	8792	2009/08/05	2015/03/06	Scaffold	Broad Institute	SAMN02953747
Hypsibius dujardini	232323	PRJNA360553	360553	Animals	Other Animals	104.155	44.5	GCA_002082055.1	-	MTYJ01	1421	20090	20853	2017/04/07	2017/06/09	Scaffold	Keio University	SAMN06212344
Tursiops truncatus	9739	PRJNA625792	625792	Animals	Mammals	2378.52	41.4544	GCA_011762595.1	chromosome 1:NC_047034.1/CM022274.1; chromosome 2:NC_047035.1/CM022275.1; chromosome 3:NC_047036.1/CM022276.1; chromosome 4:NC_047037.1/CM022277.1; chromosome 5:NC_047038.1/CM022278.1; chromosome 6:NC_047039.1/CM022279.1; chromosome 7:NC_047040.1/CM022280.1; chromosome 8:NC_047041.1/CM022281.1; chromosome 9:NC_047042.1/CM022282.1; chromosome 10:NC_047043.1/CM022283.1; chromosome 11:NC_047044.1/CM022284.1; chromosome 12:NC_047045.1/CM022285.1; chromosome 13:NC_047046.1/CM022286.1; chromosome 14:NC_047047.1/CM022287.1; chromosome 15:NC_047048.1/CM022288.1; chromosome 16:NC_047049.1/CM022289.1; chromosome 17:NC_047050.1/CM022290.1; chromosome 18:NC_047051.1/CM022291.1; chromosome 19:NC_047052.1/CM022292.1; chromosome 20:NC_047053.1/CM022293.1; chromosome 21:NC_047054.1/CM022294.1; chromosome X:NC_047055.1/CM022295.1; mitochondrion MT:NC_012059.1/CM022296.1	JAAOMD01	362	28904	55739	2020/03/25	2020/03/27	Chromosome	NCBI	SAMN12326775
Ochotona princeps	9978	PRJNA666703	666703	Animals	Mammals	2231.49	44.2103	GCA_014633375.1	chromosome 1:NC_050536.1/CM025721.1; chromosome 2:NC_050537.1/CM025722.1; chromosome 3:NC_050538.1/CM025723.1; chromosome 4:NC_050539.1/CM025724.1; chromosome 5:NC_050540.1/CM025725.1; chromosome 6:NC_050541.1/CM025726.1; chromosome 7:NC_050542.1/CM025727.1; chromosome 8:NC_050543.1/CM025728.1; chromosome 9:NC_050544.1/CM025729.1; chromosome 10:NC_050545.1/CM025730.1; chromosome 11:NC_050546.1/CM025731.1; chromosome 12:NC_050547.1/CM025732.1; chromosome 13:NC_050548.1/CM025733.1; chromosome 14:NC_050549.1/CM025734.1; chromosome 15:NC_050550.1/CM025735.1; chromosome 16:NC_050551.1/CM025736.1; chromosome 17:NC_050552.1/CM025737.1; chromosome 18:NC_050553.1/CM025738.1; chromosome 19:NC_050554.1/CM025739.1; chromosome 20:NC_050555.1/CM025740.1; chromosome 21:NC_050556.1/CM025741.1; chromosome 22:NC_050557.1/CM025742.1; chromosome 1A:NC_050558.1/CM025746.1; chromosome 1B:NC_050559.1/CM025747.1; chromosome 2A:NC_050560.1/CM025748.1; chromosome 3A:NC_050561.1/CM025749.1; chromosome 4A:NC_050562.1/CM025750.1; chromosome 7A:NC_050563.1/CM025751.1; chromosome 8A:NC_050564.1/CM025752.1; chromosome 9A:NC_050565.1/CM025753.1; chromosome 11A:NC_050566.1/CM025743.1; chromosome 13A:NC_050567.1/CM025744.1; chromosome 14A:NC_050568.1/CM025745.1; mitochondrion MT:NC_005358.1/	JACJUE01	9351	24030	29701	2020/09/18	2020/09/21	Chromosome	NCBI	SAMN15664588
Dipodomys ordii	10020	PRJNA20385	20385	Animals	Mammals	2236.37	42.6	GCA_000151885.2	-	ABRO02	65193	23596	29351	2008/09/18	2014/12/12	Scaffold	Baylor College of Medicine	SAMN02900551
Macaca fascicularis	9541	PRJNA20409	20409	Animals	Mammals	2946.84	41.3398	GCA_000364345.1	chromosome 1:NC_022272.1/CM001919.1; chromosome 2:NC_022273.1/CM001920.1; chromosome 3:NC_022274.1/CM001921.1; chromosome 4:NC_022275.1/CM001922.1; chromosome 5:NC_022276.1/CM001923.1; chromosome 6:NC_022277.1/CM001924.1; chromosome 7:NC_022278.1/CM001925.1; chromosome 8:NC_022279.1/CM001926.1; chromosome 9:NC_022280.1/CM001927.1; chromosome 10:NC_022281.1/CM001928.1; chromosome 11:NC_022282.1/CM001929.1; chromosome 12:NC_022283.1/CM001930.1; chromosome 13:NC_022284.1/CM001931.1; chromosome 14:NC_022285.1/CM001932.1; chromosome 15:NC_022286.1/CM001933.1; chromosome 16:NC_022287.1/CM001934.1; chromosome 17:NC_022288.1/CM001935.1; chromosome 18:NC_022289.1/CM001936.1; chromosome 19:NC_022290.1/CM001937.1; chromosome 20:NC_022291.1/CM001938.1; chromosome X:NC_022292.1/CM001939.1; mitochondrion MT:NC_012670.1/	AQIA01	7625	33368	62703	2013/05/20	2021/01/13	Chromosome	Washington University (WashU)	SAMN00811240
Microcebus murinus	30608	PRJNA19967	19967	Animals	Mammals	2487.41	41.3423	GCA_000165445.3	chromosome 1:NC_033660.1/CM007661.1; chromosome 2:NC_033661.1/CM007662.1; chromosome 3:NC_033662.1/CM007663.1; chromosome 4:NC_033663.1/CM007664.1; chromosome 5:NC_033664.1/CM007665.1; chromosome 6:NC_033665.1/CM007666.1; chromosome 7:NC_033666.1/CM007667.1; chromosome 8:NC_033667.1/CM007668.1; chromosome 9:NC_033668.1/CM007669.1; chromosome 10:NC_033669.1/CM007670.1; chromosome 11:NC_033670.1/CM007671.1; chromosome 12:NC_033671.1/CM007672.1; chromosome 13:NC_033672.1/CM007673.1; chromosome 14:NC_033673.1/CM007674.1; chromosome 15:NC_033674.1/CM007675.1; chromosome 16:NC_033675.1/CM007676.1; chromosome 17:NC_033676.1/CM007677.1; chromosome 18:NC_033677.1/CM007678.1; chromosome 19:NC_033678.1/CM007679.1; chromosome 20:NC_033679.1/CM007680.1; chromosome 21:NC_033680.1/CM007681.1; chromosome 22:NC_033681.1/CM007682.1; chromosome 23:NC_033682.1/CM007683.1; chromosome 24:NC_033683.1/CM007684.1; chromosome 25:NC_033684.1/CM007685.1; chromosome 26:NC_033685.1/CM007686.1; chromosome 27:NC_033686.1/CM007687.1; chromosome 28:NC_033687.1/CM007688.1; chromosome 29:NC_033688.1/CM007689.1; chromosome 30:NC_033689.1/CM007690.1; chromosome 31:NC_033690.1/CM007691.1; chromosome 32:NC_033691.1/CM007692.1; chromosome X:NC_033692.1/CM007693.1; mitochondrion MT:NC_028718.1/	ABDC03	7678	31964	59023	2007/07/20	2017/02/06	Chromosome	Broad Institute	SAMN06275470
Dictyocaulus viviparus	29172	PRJNA72587	72587	Animals	Roundworms	160.964	35	GCA_000816705.1	-	AZAF01	7157	14482	14171	2015/01/07	2016/03/03	Scaffold	The Genome Institute	SAMN02873952
Oesophagostomum dentatum	61180	PRJNA72579	72579	Animals	Roundworms	443.017	42.8	GCA_000797555.1	-	JOOK01	64255	25633	25289	2014/12/05	2014/12/15	Scaffold	The Genome Institute	SAMN02866218
Limulus polyphemus	6850	PRJNA20489	20489	Animals	Other Animals	1828.27	34.5	GCA_000517525.1	mitochondrion MT:NC_003057.1/	AZTN01	286793	27318	38682	2013/12/30	2014/08/06	Scaffold	Washington University (WashU)	SAMN02953878
Priapulus caudatus	37621	PRJNA20497	20497	Animals	Other Animals	511.738	45.6996	GCA_000485595.2	mitochondrion MT:NC_008557.1/	AXZU02	59587	17425	20692	2013/10/25	2015/11/19	Scaffold	Washington University (WashU)	SAMN02953874
Strigamia maritima	126957	PRJNA20501	20501	Animals	Other Animals	176.211	35.8	GCA_000239455.1	-	AFFK01	14739	-	-	2011/12/22	2013/11/01	Scaffold	Baylor College of Medicine	SAMN00009008
Necator americanus	51031	PRJNA72135	72135	Animals	Roundworms	244.075	41.3	GCA_000507365.1	-	ANCG01	11864	19656	19153	2013/12/13	2014/08/06	Scaffold	The Genome Institute at Washington University	SAMN02953824
Bubalus bubalis	89462	PRJNA471901	471901	Animals	Mammals	2655.78	41.814	GCA_003121395.1	chromosome 1:NC_037545.1/CM009840.1; chromosome 2:NC_037546.1/CM009841.1; chromosome 3:NC_037547.1/CM009842.1; chromosome 4:NC_037548.1/CM009843.1; chromosome 5:NC_037549.1/CM009844.1; chromosome 6:NC_037550.1/CM009845.1; chromosome 7:NC_037551.1/CM009846.1; chromosome 8:NC_037552.1/CM009847.1; chromosome 9:NC_037553.1/CM009848.1; chromosome 10:NC_037554.1/CM009849.1; chromosome 11:NC_037555.1/CM009850.1; chromosome 12:NC_037556.1/CM009851.1; chromosome 13:NC_037557.1/CM009852.1; chromosome 14:NC_037558.1/CM009853.1; chromosome 15:NC_037559.1/CM009854.1; chromosome 16:NC_037560.1/CM009855.1; chromosome 17:NC_037561.1/CM009856.1; chromosome 18:NC_037562.1/CM009857.1; chromosome 19:NC_037563.1/CM009858.1; chromosome 20:NC_037564.1/CM009859.1; chromosome 21:NC_037565.1/CM009860.1; chromosome 22:NC_037566.1/CM009861.1; chromosome 23:NC_037567.1/CM009862.1; chromosome 24:NC_037568.1/CM009863.1; chromosome X:NC_037569.1/CM009864.1; mitochondrion MT:NC_006295.1/	PZYV01	509	34037	58204	2018/05/11	2018/07/17	Chromosome	NCBI	SAMN08640746
Galeopterus variegatus	482537	PRJNA20511	20511	Animals	Mammals	3187.66	41.2	GCA_000696425.1	mitochondrion MT:NC_004031.1/	JMZW01	179514	31013	32104	2014/05/23	2014/06/05	Scaffold	Washington University (WashU)	SAMN01758971
Microsporum canis CBS 113480	554155	PRJNA30939	30939	Fungi	Ascomycetes	23.2631	47.5	GCA_000151145.1	-	ABVF01	17	8847	8765	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953735
Trichophyton equinum CBS 127.97	559882	PRJNA20577	20577	Fungi	Ascomycetes	24.1582	47.3	GCA_000151175.1	-	ABWI01	125	8785	8676	2008/10/15	2014/08/06	Scaffold	Broad Institute	SAMN02953737
Trichophyton tonsurans CBS 112818	647933	PRJNA38223	38223	Fungi	Ascomycetes	22.9886	48.1	GCA_000151455.1	-	ACPI01	111	8625	8521	2009/08/07	2014/08/06	Scaffold	Broad Institute	SAMN02953761
Trichophyton rubrum CBS 118892	559305	PRJNA38221	38221	Fungi	Ascomycetes	22.53	48.3	GCA_000151425.1	-	ACPH01	36	8804	8706	2009/09/16	2014/08/26	Scaffold	Broad Institute	SAMN02953760
Nannizzia gypsea CBS 118893	535722	PRJNA20599	20599	Fungi	Ascomycetes	23.2729	48.4	GCA_000150975.2	-	ABQE01	19	9029	8921	2008/07/25	2015/07/16	Scaffold	Broad Institute	SAMN02953728
Podila verticillata NRRL 6337	1069443	PRJNA20603	20603	Fungi	Other Fungi	41.9129	48.8706	GCA_000739165.1	mitochondrion MT:CM002878.1	AEVJ01	56	12774	12595	2014/08/12	2014/08/15	Scaffold	Broad Institute	SAMN00699802
Enterocytozoon bieneusi H348	481877	PRJNA21011	21011	Fungi	Other Fungi	3.86074	33.7	GCA_000209485.1	-	ABGB01	1733	3805	3632	2007/12/05	2014/08/04	Scaffold	Tufts Cummings School of Veterinary Medicine	SAMN00017218
Melitaea cinxia	113334	PRJEB42891	699836	Animals	Insects	499.413	34.0887	GCA_905220565.1	chromosome 1:HG992210.1; chromosome 2:HG992211.1; chromosome 3:HG992212.1; chromosome 4:HG992213.1; chromosome 5:HG992214.1; chromosome 6:HG992215.1; chromosome 7:HG992216.1; chromosome 8:HG992217.1; chromosome 9:HG992218.1; chromosome 10:HG992219.1; chromosome 11:HG992220.1; chromosome 12:HG992221.1; chromosome 13:HG992222.1; chromosome 14:HG992223.1; chromosome 15:HG992224.1; chromosome 16:HG992225.1; chromosome 17:HG992226.1; chromosome 18:HG992227.1; chromosome 19:HG992228.1; chromosome 20:HG992229.1; chromosome 21:HG992230.1; chromosome 22:HG992231.1; chromosome 23:HG992232.1; chromosome 24:HG992233.1; chromosome 25:HG992234.1; chromosome 26:HG992235.1; chromosome 27:HG992236.1; chromosome 28:HG992237.1; chromosome 29:HG992238.1; chromosome 30:HG992239.1; chromosome Z:HG992209.1; mitochondrion MT:HG992240.1	-	32	-	-	2021/02/14	2021/02/14	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7523475
Ascogregarina taiwanensis	158379	PRJNA27765	27765	Protists	Apicomplexans	6.14941	49.7	GCA_000172235.1	-	ABJQ01	5379	-	-	2010/01/28	2014/08/06	Contig	University of Minnesota	SAMN02953717
Hemiselmis andersenii	464988	PRJNA27761	27761	Protists	Other Protists	0.632425	25.5344	GCA_000018645.1	chromosome 1:NC_009977.1/CP000881.1; chromosome 2:NC_009978.1/CP000882.1; chromosome 3:NC_009979.1/CP000883.1; mitochondrion MT:NC_010637.1/	-	4	599	515	2007/11/09	2008/07/15	Chromosome	Dalhousie University, Canada	-
Bigelowiella natans CCMP2755	753081	PRJNA47111	47111	Other	Other	91.4059	44.9	GCA_000320545.1	-	ADNK01	3736	-	-	2012/11/02	2014/08/04	Contig	DOE Joint Genome Institute	SAMN00765207
Verticillium dahliae VdLs.17	498257	PRJNA28529	28529	Fungi	Ascomycetes	33.9003	55.6	GCA_000150675.2	-	ABJE01	55	10811	10535	2008/03/18	2014/08/06	Scaffold	Broad Institute	SAMN02953716
Blumeria graminis f. sp. hordei DH14	546991	PRJEB23502	448101	Fungi	Ascomycetes	124.489	43.5	GCA_900239735.1	-	OENG01	318	-	-	2018/03/31	2018/03/31	Scaffold	RWTH Aachen University	SAMEA104393677
Cryptosporidium muris RN66	441375	PRJNA19553	19553	Protists	Apicomplexans	9.24525	28.5	GCA_000006515.1	-	AAZY02	84	3981	3934	2007/05/09	2014/08/06	Scaffold	TIGR	SAMN02953683
Heterodera glycines	51029	PRJNA535374	535374	Animals	Roundworms	141.302	36.6	GCA_015680885.1	-	VAPQ01	257	-	-	2019/11/01	2019/11/01	Scaffold	Institute of Industrial Crops	SAMN11493999
Moniliophthora perniciosa FA553	554373	PRJNA28951	28951	Fungi	Basidiomycetes	26.6633	47.7	GCA_000183025.1	-	ABRE01	25056	16443	13560	2008/12/02	2015/11/09	Scaffold	Universidade Estadual de Campinas (UNICAMP), Brazil	SAMN02953729
Agaricus bisporus var. bisporus	192523	PRJNA61005	61005	Fungi	Basidiomycetes	30.7842	46.517	GCA_001682475.1	chromosome 1:CP015470.1; chromosome 2:CP015471.1; chromosome 3:CP015472.1; chromosome 4:CP015473.1; chromosome 5:CP015474.1; chromosome 6:CP015475.1; chromosome 7:CP015476.1; chromosome 8:CP015477.1; chromosome 9:CP015478.1; chromosome 10:CP015479.1; chromosome 11:CP015480.1; chromosome 12:CP015481.1; chromosome 13:CP015482.1	-	13	-	-	2016/07/08	2016/07/20	Chromosome	JGI	SAMN04880541
Daucus carota subsp. sativus	79200	PRJNA326436	326436	Plants	Land Plants	421.539	36.0427	GCA_001625215.1	chromosome 1:NC_030381.1/CM004278.1; chromosome 2:NC_030382.1/CM004279.1; chromosome 3:NC_030383.1/CM004280.1; chromosome 4:NC_030384.1/CM004281.1; chromosome 5:NC_030385.1/CM004282.1; chromosome 6:NC_030386.1/CM004283.1; chromosome 7:NC_030387.1/CM004284.1; chromosome 8:NC_030388.1/CM004285.1; chromosome 9:NC_030389.1/CM004286.1; chloroplast Pltd:NC_008325.1/CM004358.1; mitochondrion MT:NC_017855.1/	LNRQ01	4826	36244	44655	2016/04/20	2016/05/27	Chromosome	NCBI	SAMN03216637
Alternaria brassicicola	29001	PRJNA418710	418710	Fungi	Ascomycetes	31.0365	50.8	GCA_002796735.1	-	PHFN01	29	-	-	2017/11/27	2017/11/27	Contig	IRHS	SAMN08032350
Diaphorina citri	121845	PRJNA29447	29447	Animals	Insects	485.705	38.5	GCA_000475195.1	-	AWGM01	161988	26713	24730	2013/09/29	2013/10/22	Scaffold	International Psyllid Genome Consortium	SAMN00100712
Verticillium albo-atrum	27335	PRJNA392396	392396	Fungi	Ascomycetes	36.4685	56.5	GCA_002851705.1	-	NMXJ01	20	-	-	2018/01/03	2018/01/03	Scaffold	Wageningen UR	SAMN07298694
Cryphonectria parasitica EP155	660469	PRJNA207842	207842	Fungi	Ascomycetes	43.8704	50.8	GCA_011745365.1	-	WHUS01	26	11727	11606	2020/03/25	2020/03/26	Scaffold	DOE Joint Genome Institute	SAMN02744051
Trichophyton benhamiae CBS 112371	663331	PRJNA30573	30573	Fungi	Ascomycetes	22.2242	48.7	GCA_000151125.2	-	ABSU01	68	8035	7974	2010/03/17	2014/08/06	Contig	Arthroderma Genome Sequencing Consortium	SAMN02953733
Haematobia irritans	7368	PRJNA30967	30967	Animals	Insects	1143.54	17.2	GCA_003123925.1	-	PGFW01	76616	-	-	2018/05/14	2018/05/14	Scaffold	USDA - Agricultural Research Service, USA	SAMN07830356
Vicugna pacos	30538	PRJNA544883	544883	Animals	Mammals	2119.62	41.8	GCA_000164845.4	mitochondrion MT:NC_002504.1/	ABRR03	77390	31060	44159	2008/09/24	2019/07/15	Scaffold	Deakin University	SAMN01096418
Choloepus hoffmanni	9358	PRJNA30809	30809	Animals	Mammals	3286.01	40	GCA_000164785.2	-	ABVD02	269084	-	-	2008/09/15	2014/09/30	Scaffold	Broad Institute	SAMN02146716
Pleurotus ostreatus	5322	PRJNA670761	670761	Fungi	Basidiomycetes	34.9705	50.8487	GCA_014466165.1	mitochondrion MT:NC_009905.1/	JACETU01	17	11855	11718	2020/09/03	2020/09/03	Contig	NCBI	SAMN15594696
Beauveria bassiana ARSEF 2860	655819	PRJNA38719	38719	Fungi	Ascomycetes	33.6978	51.5	GCA_000280675.1	-	ADAH01	237	10364	10364	2012/07/18	2014/08/11	Scaffold	Zhejiang University, China	SAMN02981247
